species total_nonmissing H1 H2 H3 H4 H5
INSTRUMENT 32589 6547 6269 1811 9175 8787
jd 32589 6547 6269 1811 9175 8787
Year 32589 6547 6269 1811 9175 8787
H.no 32589 6547 6269 1811 9175 8787
flt 32589 6547 6269 1811 9175 8787
DOY 32589 6547 6269 1811 9175 8787
UTC 32589 6547 6269 1811 9175 8787
UT_MID 7923 1499 1683 1811 1956 974
UT_START 6234 1228 1333 1478 1572 623
UT_STOP 6234 1228 1333 1478 1572 623
CFC_11 13229 2377 2365 534 3869 4084
CFC_12 13208 2391 2331 521 3870 4095
CFC_13 747 228 205 314 0 0
CFC_113 13230 2404 2237 533 3897 4159
CFC_115 2500 419 423 539 506 613
HCFC_21_AW 196 196 0 0 0 0
HCFC_22 6030 1203 1326 1449 1508 544
HCFC_141b 4622 993 1086 1093 1166 284
HCFC_142b 6206 1227 1328 1473 1557 621
HCFC_123_AW 196 196 0 0 0 0
HCFC_124_AW 1167 196 214 236 236 285
HFC_125 2449 419 366 538 505 621
HFC_23 2238 191 423 533 470 621
HFC_134a 5829 1215 1065 1468 1466 615
HFC_143a 2454 417 366 544 506 621
HFC_152a 2487 413 408 542 504 620
Halon_1301 2457 419 422 528 504 584
Halon_1211 13161 2399 2360 474 3806 4122
Halon_2402 2514 419 423 545 506 621
OCS 5754 1143 1258 1348 1423 582
CH3Cl 6193 1226 1316 1458 1572 621
CH3Br 6101 1203 1317 1471 1489 621
CH3I 4051 872 412 985 1165 617
CHCl3 2503 412 420 550 505 616
CH2Cl2 2510 424 413 551 505 617
CH2ClCH2Cl_AW 1158 196 215 235 234 278
CH3CCl3_AW 1139 196 214 210 235 284
C2HCl3_AW 1007 196 215 228 170 198
CCl4 2471 397 417 532 506 619
C2Cl4 2521 424 422 551 506 618
MeONO2_AW 1163 196 216 236 235 280
EthONO2_AW 1148 196 214 229 235 274
i_PropONO2_AW 1141 196 214 224 234 273
n_PropONO2_AW 1056 185 196 195 228 252
X2_ButylONO2_AW 1003 180 189 184 214 236
X3_C5ONO2_AW 100 100 0 0 0 0
X2_C5ONO2_AW 102 102 0 0 0 0
C2H5Br_AW 182 182 0 0 0 0
CH2Br2 2515 424 414 551 505 621
CHClBr2_AW 1071 191 197 204 224 255
CHBr3 2469 423 415 526 496 609
Ethane_AW 1158 196 218 230 235 279
Ethene_AW 195 195 0 0 0 0
Ethyne 2484 422 423 547 479 613
Propane 2496 423 422 551 479 621
Isobutane_AW 1158 193 214 232 235 284
n_butane 2514 422 419 548 505 620
Isopentane 2460 390 416 544 501 609
n_pentane 2476 389 417 545 504 621
n_hexane_AW 1124 191 215 235 227 256
Isoprene_AW 1150 197 217 234 234 268
Benzene 2501 418 409 550 505 619
Toluene_AW 1017 190 213 228 207 179
Ethyl_benzene_AW 690 197 215 234 44 0
m_p_Xylene_AW 684 190 215 235 44 0
o_Xylene_AW 687 197 215 231 44 0
Methyl_Acetate_AW 1145 196 213 222 234 280
C2H6S_AW 895 170 209 131 186 199
Methyl_t_butylether_AW 547 168 139 92 128 20
SF6 26154 5428 4530 545 7519 8132
PFC116_AW 1161 191 218 232 236 284
PFC_c_318_AW 1160 191 218 231 236 284
CS2 628 568 0 60 0 0
HFC_32_AW 751 0 0 231 236 284
CH4_flask 2494 422 404 544 506 618
N2O_flask 2027 410 194 312 500 611
CO_flask 2479 423 415 520 505 616
H2 9582 1413 2103 0 2527 3539
CO2_flask 2859 439 523 634 636 627
CO2isoC13_SIL 909 0 167 299 191 252
CO2isoO18_SIL 677 0 167 261 115 134
CH4isoC13_SIL 467 0 0 0 188 279
APO_MED 1527 252 319 310 356 290
O2N2_MED 1530 252 320 310 356 292
ArN2_MED 1530 252 320 310 356 292
13CO2_MED 326 76 117 133 0 0
18CO2_MED 326 76 117 133 0 0
AKRD 32228 6480 6262 1792 9099 8595
SSRD 32559 6541 6262 1794 9175 8787
ATX 32564 6538 6269 1797 9175 8785
DPXC 29019 4721 4926 1518 9141 8713
PLWCC 32181 6286 6266 1795 9129 8705
GGALT 32589 6547 6269 1811 9175 8787
GGLAT 32589 6547 6269 1811 9175 8787
GGLON 32589 6547 6269 1811 9175 8787
GGSPD 32506 6527 6268 1792 9164 8755
GGTRK 32506 6527 6268 1792 9164 8755
UIC 32047 6313 6266 1795 9098 8575
VIC 32047 6313 6266 1795 9098 8575
WIC 17673 0 0 0 9098 8575
MR 29042 4721 4930 1518 9144 8729
PALT 32542 6538 6266 1797 9174 8767
PALTF 32543 6538 6266 1797 9175 8767
PCAB_SP2 14584 6519 6268 1797 0 0
PITCH 32399 6374 6269 1797 9174 8785
